svc_sentiment,text
negative,I've had the tablet for a few months now and have just started to really get used to it. Sometimes I find it laggy and a little slow. I also am disappointed that the App Store doesn't have as
positive,Great...!
positive,Was very excited to receive my new Kindle ahead of schedule!
negative,It's a great tablet for the price. Both my kids love it. The only set back is the battery drains very quickly!!
positive,Love it!  Will order another one.  My husband took it :)
positive,It's my second kindle .
positive,Great
positive,This product was easy to setup easy to use. It is as good as they say it is very happy with it. I browse the internet do email good product
positive,I love it works great as t for my needs !!!!
positive,I am really enjoying my HD 7 .... just the right size to carry around .  The pictures are very clear --easy to see and read .
positive,Even better than expected . Very pleased with purchase.
positive,Great my 3rd fire!!!
negative,The picture is no where near as good as I expected. It definitely should not be called HD. The battery is not good either. Even when I am just reading the battery drains really quickly. An ho
positive,Great deal. Love it.
positive,Exceeded my expectations.  Much faster than my LG Tablet with better HD.
positive,Love it
negative,I have had this tablet since November 2014. I loved it at first but starting about three months ago I have had nothing but problems with the tablet freezing on me. They have replaced it now t
positive,I loved the camera on it  and everything about it.
positive,Love it!!
positive,Great product
positive,Grandson loves it!!
negative,Ever since Amazon started using the new people to go thru for returns or breakage. I am sorry to say they no longer stand behind there products.
positive,This is the first time I ever buy a kindle fire tablet and so far it's amazing. Wish it had more memory though
positive,Absolutely love this ordered for my 2 yr old who couldn't stop grabbing older sisters.  It is great for the lil ones
negative,I was very disappointed that I can not see the screen outside. I thought it was the same screen as a Kindle.
positive,This item was a gift from my daughter and I am thrilled with it. I love to read but I can do so much more as I am still learning.
positive,From the recipient:  My wife gave it to me. didn't particularly want it but glad I have it!
positive,This Kindle is perfect for my reading pleasure. I purchased at reduced price during Prime Day.  It arrived in excellent condition.  I did have  difficult time syncing with my other Kindle boo
positive,Very good.
positive,Good
negative,when I am reading a book it freezes on me. Then I Have to power down to unfreeze it.
negative,I hate this product
positive,Met and exceeded all expectations.
positive,It works like my old one but better.
positive,So far I love it...
positive,Kids love it
positive,Bought the Fire HD 7 during the black Christmas in July sale for 88.32 out the door. It was worth that price for sure. Love the size. All my favorite apps are available.
positive,My Mom loved this as a gift!!!!
positive,Love this Kindle!  It has everything I need and I really am enjoying all the free apps!
positive,I now have 4 different units and like them all
negative,The moment I took it out of the box it started lagging. it was thick but the battery life said otherwise. Did not meet my expectations. It also does not run android...
positive,Awesome tablet
positive,Nifty little tablet for a great price.
negative,i have the old fire 7&#34; and somethings on it are better.  the off switch is better located and the off button color shows it being off.<br />otherwise the fire hd 7 is good.
negative,The battery dies twice as quick already. I have only had the product for about 5 months. Not quite what i expected.
positive,I absolutely love it. Perfect for me!
positive,Love the HD 7 it is fast and easy to use.
positive,great
positive,Love it .  So does one of my daughters and we have just touched the tip of the iceberg.
positive,Fun little pad. Great screen resolution.
positive,I love it. It's thin and light it is very clear screen.
positive,Loving it
positive,Excellent!
negative,slow slow and slow
positive,like the flexability to view  were i want around the house
positive,Love this tablet. Wish it had Bluetooth.
positive,Tremendous tablet!
negative,we sent two back before getting one that worked
negative,Battery seems to die faster.and seems thicker and heavier.
negative,It is extremely difficult to remove all air bubbles from the anti glare shields when applying to kindle fire.
positive,Love it
positive,I was looking for a replacement for my first generation Kindle. My old one wouldn't show pictures well. This new one  the screen is perfect for colors and any videos. Email and any Apps work 
negative,Amazon AppStore is to limited.  I wish Fire HD would come with google play store installed or allow google play store to be installed on it.
positive,What a great joy to have all my favorite Authors at my fingertips.  And access to internet....  great buy
negative,can't seem to change amazon accounts... annoying
negative,Battery life is terrible.
positive,Works great
negative,not as intuitive as I thought or maybe I'm just use to IPAD. Battery life not great if watching movies from amazon prime.
positive,I am enjoying it greatly!  It was a gift.  I am so amazed at all it can do!  I highly recommend it to everyone looking to buy a tablet!
negative,Very disappointed in the apps available.  This tablet needs to be rootable.  This would be 5 stars if I could get the google store on here.  Please let me know any info on rooting kindle.
positive,I think it is great - wish I got a bigger size.
positive,Great price. It was a gift for a 10 year old and she Loves it!!!!
positive,it's marvolous!
positive,Great!
positive,I was kinda leary about going to a new Kindle. But glad I made the change. I really like it. It is easier to use than the First Generation Kindle.
positive,Love Kindle
positive,Love it!!
positive,Excellent product - love the screen size and clear pictures. Easy to navigate and to many available apps to count.
positive,So far appears to exceed my expectations  still<br />Learning what it can<br />Do and what the limits are and still exploring it
positive,This is my first tablet. It has exceeded my expectations. It is easy to use and has many more functions than I thought it would. Other plusses are the size and weight both of which make it ex
positive,is the best. so happy with it
negative,I think it's ridiculous that you can't sign out of your e-mail account! I also would have liked to get the color I wanted without having all the ads.
positive,Great purchase.  Wonderful upgrade from my basic Kindle.  Couldn't be happier!
positive,All that I expected it to be
negative,8GB is too small. Get something bigger.
negative,Very nice... I really don't like all the ads and marketing.. Is there a way to turn that off?  I'd rate it higher if there wasn't ads polluting my screen every time I woke up my device.
negative,Have to charge battery much more often.  Not as user friendly as the kindle fire.  Harder to figure out how to do certain functions.
negative,It only lasted about 2 or 3 months before the screen blacked out.
positive,Excellent
positive,Love it!!
positive,I have enjoyed it from the moment it carried
negative,Not impressed.  I have a Kindle that is about five years old that is way better than this one.  I bought this because the battery in my original is starting to fade a lot sooner that it used 
positive,love it
positive,I really like it so far!!
positive,Love it
positive,was so used to my previous Kindle which allowed me to have all my unread books on the carousel and all read books in favorites.  LOVED this feature. Wish it was on this Fire HD7
negative,Requires additional $15e fee to remove ads from lock screen.
positive,fits perfect.  Love the color.  Not to heavy.
positive,Its great
positive,Love it!!!!!
positive,Both my husband and I love the Kindle Fire.
positive,I already had a KIndle but wanted another so that I would not have to wait for a &#34;charge&#34; in order to keep reading.  The second Kindle has been the greatest thing!!! No more waiting--
positive,Gets what I Want done so no complaints here.
positive,Very good. Like a otter box for kendal
positive,really like this
positive,The fire hd is great i will use this one for books other one for music so they are both great
positive,This product is awesome  with a very reasonable price.  Its a pleasure to use as well as convenient.  I would recommend this product to anyone who loves to read.
negative,I don't like all the advertising for Amazon.
negative,I would like to have more apps available. The device was easy to use and the sound when playing music is great.
positive,my wife is very happy with her fire
negative,I Gave this to my Niece to have.<br />I had no Idea it was Pre-Loaded with my Amazon information to be able to Download and BUY Apps.<br />Now I have to find away to get my personal Info. OFF
positive,Great product!! Would give it a five if the battery lasted longer!!
positive,love it except photos crashes all the time
positive,Great buy! Still have a lot to learn
positive,Quality and performance is very clear.
negative,battery life is terrible...other than that it is nice.
positive,Wish I bought two of these on Prime day.
positive,This is the best tablet that I have seen for this size. The price was a lot less than I expected. I enjoy reading the great books I get from amazon on this tablet.<br />I would highly recomme
positive,Excellent!! Just what I wanted.
positive,This my third purchase of a kindle fire. That speaks for  itself.
positive,Love it! Replaces an orginal Fire which I have had since they first came out. Have an 8.9&#34; HDX for most uses but the 7&#34; HD is best for reading in bed as it is smaller and lighter to h
positive,Love it! Hasn't left my hand :)
positive,Like this Kindle was Lil smaller than I thought would be. I still like my 3rd Kindle best. The biggest
positive,I like it the graphic are nice. I still do not know how to totally use it. I am so glad I purchased this.
positive,Purchased the Fire HD for reading books.  It is wonderful.
positive,Item was exactly what I ordered. It works great.
positive,I love my kindle. It's my second one. My first one only had the front facing camera. This one has both front and back and I love it!  For the price you can't go wrong. I would recommend this 
positive,Works great. Glad I waited for the 16GB; the extra space is a must when being shared amongst multiple people.
positive,It is so much better than the old kindle.....
positive,Bought for a 10 year old & he LOvES it!!
positive,Love it!!
positive,Couldn't get all the app I excepted..sorry!
positive,I love it so much
positive,love my kindle.
positive,Very pleased with the clear resolution and colors.
positive,Really enjoying all it's amenities.
positive,Great tablet for my son.
positive,Excellent entertainment device. Good price and plenty to keep the kids busy.
positive,Best birthday gift ever!
positive,I love my kindle
positive,I have had a Kindle fire since the first generation and have LOVED it! Only reason I got a new one (after 5+ years) was that I wasn't able to charge it anymore (the charging port got kinda lu
positive,My children love it.
positive,works great
positive,Worth every dollar. My son loves it!
negative,Great devise but it has a crack .
positive,The magnetic opening and closing the Fire HD7 is very convenient
positive,This has great graphics and plenty of great aps available at the ap store. I love my new Kindle Fire! (When i can get my teenager to let go of it.)
positive,I love it !!!!!😍😍😍😍
positive,So far so good.
positive,it's fine
positive,Love it! Exactly what we were looking for!
negative,Broke in 3 months. Wouldn't charge then froze and just stopped working altogether. Really disappointed as I bought this as a gift.
negative,Items in cloud no easily downloaded.
positive,All that I expected . You did a great job and delivered on time.
positive,The Kindle Fire HD 7 in the magenta looks and feels amazing and the wife loves it.  She is able to read all her books and more on it and she likes the light weight feel compared to her iPad. 
positive,I love it
positive,So far so good but i wish i could change the background or lock screen wall paper. Perhaps there is a way but no guidance for tips and tricks on making the tablet your own.<br /><br />Other t
positive,I love my Kindle.  My first was a Christmas gift from my daughter that got stolen.  I immediately ordered another.  Great product.
positive,Very happy with it.
negative,This morning I woke up to my Kindle Fire suddenly not turning on or charging.  Conveniently 3 days after the 1 month warranty coverage.  I have never even taken my Kindle outside of my house.
negative,just awful. I saw it only had 1 port so I chatted with Amazon before I bought it. They said I needed an hmdi to connect to the TV. Well no problem. I already have an HMDI for the old kindle f
positive,Love it
positive,Size is perfect.  Love not having to pull out a laptop.  Great to read on or search the internet.
positive,It's a great tablet. Very budget-friendly and it will do most anything you needed to do when it comes to surfing the web and checking your email. If you do a lot of reading this is definitely
positive,Purchased this for my 13 year old and she loves this. i messed with it and its easy to use. Setup was simple and easy to follow.
positive,Love it
positive,I love my kindle!!!
positive,Great device!  Meets all my expectations!
negative,Having a hard time using free movies in Guatemala City
positive,It's awesome I love it
positive,Love it
negative,First I cUt root my device second on Minecraft the ip for my wifi doesn't work some reason and third why not add Google play?
positive,Nice electronic.  Fast shipping.
positive,Just what I hoped for.
positive,I love it I can take this with me in my purse and don't have to fuss with a big bulky laptop
negative,No google apps. To dependent on amazon app store with limited apps.
positive,Great product after reading some reviews I was really not sure what to expect but really it seems more like people aren't happy unless they are complaining as I have not had any problems at a
positive,Does everything that an Apple iPad would do! Very happy! Especially since I really wanted it to read books on but a bonus because I get to play my favorite apps and browse the Internet when I
negative,Constantly freezes and must be shutdown to resolve. Would not buy again.
positive,Great little device and very easy to use.
negative,I used it like I use my old kindle which did not have a camera and I get more bang for my buck. This one gets full to fast and you can not ad no more stuff. Yet all I was adding was the same 
positive,I bought this tablet for my son and so far has performed to expectations.
positive,A good one to buy.
positive,It's  great
negative,This the more st undurible tablet n the world don't even want your money informed it 6inches off the ground and the screen shattered what the f*** Amazon talk about false advertising
positive,Its a kindle so I knew I was getting a great product. and recived a great deal when amazon ran a sale. its self explainery its a kindle backed by amazon. i have baught 4 kindles and i have ne
positive,Was happy with the way my replacement was handled. Thank you so much.
positive,Super deal on 7/15 daughter loves it.
negative,Cannot read it outside.
positive,I gave this to my son who is a Marine.  He started using it right way.  It works wonderful for him to watch movies and he is able to get books in seconds after reading the reviews.  It is per
positive,Love my HD 7!
positive,Excellent great price
positive,Internet Access is the best I have seen in a tablet.
positive,This seems to lose charge faster than I would expect. I had a super old kindle fire and it held charge much longer than this.
positive,I purchased the Fire HD 7 for my mother. It was just the right size for her to hold and carry with her. The screen is clear. The kids especially love the camera feature. She never knows who's
positive,I just love my Kindle Fire HD 7&#34;.  I'd recommend it to anyone.
positive,Very nice updates.
positive,It's my son's First Real Tablet (as he calls it). Love the set up for parental controls. Battery holds up well and my kids love it!
positive,Works great. Very pleased.
positive,I love the Bluetooth feature
positive,This is handy to have! Fast and speedy delivery.
positive,Love it!
negative,This Kindle is the worst I've had and we own 3 others. It often gets stuck on a page or kicks you off and back to the home screen.
positive,I am enjoying it I just wish there was a manual for it.
negative,I bought this and within two weeks my screen went black while my daughter was playing her app on her child account. It wouldn't charge or turn back on. I called and they sent me a refurbished
negative,It's not really set to be a book read. I don't really need the rest of what it does.I got the<br /><br />Fire to download woodworking magazines.
positive,Excellent tablet.
positive,My kids love it! Great price! Wished that I would have bought the 16GB.
positive,Love it but wish the battery would last longer.
positive,The graphics are amazing
positive,It's a great tablet what can I say. I still love my older Kindle but this one is much faster and better would definitely recommend it got a great price on it on prime day.
positive,Like it so far. Moves faster than my old Kindle. Have not yet tried all the features. Will rate again later.
positive,It was the best device I've ever handled
negative,Not at all happy had mine for a year since new it cuts out with no warning (plenty charge in battery)now it's started freezing when I touch screen to open an app and then has to be shut down 
positive,Pros<br />- FireOS is simple and intuitive<br />- Prime integration<br />- excellent value ($79 on prime day)<br />Cons:<br />- Build quality feels a little plasticy<br />- Speakers ok (what 
positive,very happy with it.
positive,Love it!
positive,I love this device. It is light enough for me to read for hours without my hand starting to hurt. Very easy to browse Kindle store. Battery life for me has been about 8 hours with constant re
positive,enjoying this kindle fire even more than my first!
positive,Love the device. Got it for my 7 year old.  Does everything I need it to and more.  I'm giving 4 stars because of the limited android games available.
positive,Love my new Fire HD 7!  It's a perfect size and does almost everything my much bigger and more expensive iPad does.  So happy I made this purchase!
positive,Great tablet!
positive,Like the upgraded features over my old fire.  Works great.  Would prefer not to get ads posted when I turn it off and back on.
negative,I don't like it was much as I did my iPad that got broken but it will due I'm glad I got it on sale!
positive,This kindled is the greater
positive,so far I am enjoying it. No issues with the speed or screen.
negative,Much faster than my old Kindle but it has no space because the system uses so much. I bought the 8 gb without understanding how small that is. Of course that is my error for not checking into
positive,This is my third Kindle.  My second one just stopped working about 2 weeks ago. So I had to buy another.  Works great!!
negative,do not find the use of this device intuitive at all.
positive,Love it!
positive,I am in love! Didn't think I could like not reading a physical book but this is working out great for me plus being able to play games & surf online it works great for what I needed and the p
positive,I would be lost without this kindle.  The camera has a wonderful quality.  The size of the screen is perfect for reading.  I read tons of books on my kindle and use the web to pull up recipes
positive,Love love love
positive,I love the size and the ease of use.  The high quality resolution can't be beat!!
positive,still getting to know what all it does.  But do enjoy what I see so far.
negative,For the most part it meets expectations... Does tend to &#34;freeze up&#34; and needs to be rebooted.
positive,Wish I could customize home screen and such but a solid purchase for sure
positive,Excellent product
positive,Perfect reader and handy tablet.
positive,This is my first Kindle and so far I really like it.
negative,it's ok.. nothing special
positive,Great product!! Kept kids entertained across the country!!  Loved the free game choices.  Educational to boot!!!
positive,Love the white color and the camera!
positive,I love it. I have a kindle touch also. Love the fire so much more. Easy to use and do things on.
positive,I absolutely love my new Kindle Fire.
positive,I love it :)
positive,Just started using it and it works great.
positive,great tablet - especially when on the move
positive,Love this product! Lightweight but with a wonderfully clear picture. For the price it cannot be beat. Battery charges quickly and lasts a full day or more!
positive,So far so good. A bit of relearning still going on. Big enough light weight and battery power good.
positive,Great item.
positive,I was so glad to get back my kindle and after using a &#34;tablet&#34; that kept losing WI-FI connections even at home. It was good to have a kindle which I could depend on.
positive,great product
positive,This was an addition.  We already had a Fire 7&#34; HDX and decided a second Fire would be useful.  As a second unit we did not feel the added expense of an HDX was necessary and it wasn't.  
negative,I expected some form of Word and am disappointed that there's not! I do like the color and resolution.
positive,I'm so glad to get my Kindle back. Never new how bad it would be without one after two years of having the other one before it went bad. The new one is more than I expected and I'm enjoying r
positive,I love it  !!!  I hope it will last longer then my  first one !! I had it for two years and it couldn't be fixed.
positive,Very pleased with it. I am 86 and my daughter is teaching me how to use it. I am a coin collector and the<br /><br />book has a lot of GOOD information.
positive,Not all I thought it would be
positive,Really just wanted a vessle to run plex in my bedroom. Bought it on prime day so it was a bargain.very happy with it.
positive,I love it!  It is easy to navigate and the HD makes it easier to read my books and play games.
positive,Was pleased with the brightness of the HD display.  All around head and shoulders above my old one.
positive,Great tablet for the money!
negative,I have had several Kindle Fires.  I dont like this one as much as the earlier ones.  I dont want one with games and other foolishness I want to read and you make it difficult for me to do so.
negative,I ordered a 16 gb fire and had it for a week and loved it. It's a little different because it's hard to use anything that amazon doesn't promote but worth a little work i was able to use them
positive,Love it
positive,Love the HD 7
positive,just what we needed at a good price
positive,Great deal!
positive,I have a fist edition Kindle Fire.. I was tire of not being able to see the screen at the beach and it would not hold a charge very long anymore.. Time for an upgrade! My new Kindle is much b
positive,Love my new Fire. It's easy to learn and fun to use.
positive,We really are enjoying the tablet
positive,Fit and function is great
positive,So far so good..
positive,Love the Kindle! Nice quality screen resolution and fast processor. Amazon makes good quality  tablets.
positive,I love it. I read and watch movies. Very clear picture.
negative,Not as user friendly as I would like.
positive,very good.
positive,Best thing I've bought in a long time!!
positive,I wanted a tablet for reading my books and would be easy to carry around.  I was really surprised when I got my tablet.  The screen is sharp; easy to hold while reading.  I have a lot of elec
positive,My son absolutely lives it.
positive,I like it. It is thicker so it seems more durable. Lots of games. Easy to use.
positive,I like the new fire hd 7 except for one thing. You have to turn it on to find out if it is charged. My first one had a light on the pad to let me knoe when it was fully charged.
negative,Do not like the touch screen.
negative,Just Okay.
positive,Camera better
positive,Very nice
negative,I-pad much better and easier to use
positive,Awesome deal!!  Love it!
positive,Awesome
positive,Love it. Has rear and front camera.
negative,The product looks nice but tends to turn off or drop out when watching movies or playing on-line games.  This is annoying to say the least.
positive,Just what I expected.
